com.samsung.shealth.tracker.pedometer_step_count,6260063,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
3534,4,0,7,2023-12-07 17:11:00.000,,,2023-12-07 17:11:44.605,2023-12-07 17:11:44.605,7,1.5277778,5.4,0.24,UTC+0100,y+n1+oDWjk,com.sec.android.app.shealth,2023-12-07 17:12:00.000,d1d4960b-7193-49ba-b97c-3753c22d515d,
3330,4,0,7,2023-12-07 17:14:00.000,,,2023-12-07 17:14:34.171,2023-12-07 17:14:34.171,7,1.6666666,5.55,0.24,UTC+0100,y+n1+oDWjk,com.sec.android.app.shealth,2023-12-07 17:15:00.000,1e6b4fdb-0d4a-4aa5-8c82-50d8bc362ed4,
8886,4,0,13,2023-12-07 17:37:00.000,,,2023-12-07 17:39:25.285,2023-12-07 17:39:25.285,13,1.0555555,9.38,0.49,UTC+0100,y+n1+oDWjk,com.sec.android.app.shealth,2023-12-07 17:38:00.000,3ae1ddc5-a74b-4a4e-97f0-dad5d62fa2d3,
53100,4,0,81,2023-12-07 17:38:00.000,,,2023-12-07 17:39:25.347,2023-12-07 17:39:25.347,81,1.1111112,59.0,3.16,UTC+0100,y+n1+oDWjk,com.sec.android.app.shealth,2023-12-07 17:39:00.000,65acbbaf-0019-455b-82b6-936534c016c1,
45980,4,0,74,2023-12-07 17:39:00.000,,,2023-12-07 17:39:49.788,2023-12-07 17:39:25.541,74,1.193342,54.87,2.9099991,UTC+0100,y+n1+oDWjk,com.sec.android.app.shealth,2023-12-07 17:40:00.000,ccc415d3-b605-49d4-b1c4-35e186bfc8d4,
7560,4,0,11,2023-12-07 17:40:00.000,,,2023-12-07 17:40:09.137,2023-12-07 17:40:09.137,11,1.0555556,7.98,0.41,UTC+0100,y+n1+oDWjk,com.sec.android.app.shealth,2023-12-07 17:41:00.000,0a631370-307f-40c6-8a39-5d728e309ed3,
5908,4,0,8,2023-12-07 17:42:00.000,,,2023-12-07 17:42:10.615,2023-12-07 17:42:09.423,8,0.9578895,5.66,0.29,UTC+0100,y+n1+oDWjk,com.sec.android.app.shealth,2023-12-07 17:43:00.000,5fe1606b-4a98-45a3-8c64-5265d7f8f336,
43732,4,0,75,2023-12-07 17:48:00.000,,,2023-12-07 17:55:02.885,2023-12-07 17:55:02.885,75,1.2777778,55.88,2.95,UTC+0100,y+n1+oDWjk,com.sec.android.app.shealth,2023-12-07 17:49:00.000,fe50fbb4-3492-45f3-941b-016845d01279,
60000,4,0,113,2023-12-07 17:49:00.000,,,2023-12-07 17:55:02.918,2023-12-07 17:55:02.918,113,1.4301666,85.81,4.52,UTC+0100,y+n1+oDWjk,com.sec.android.app.shealth,2023-12-07 17:50:00.000,fef5ca0b-8ddb-4a0f-896f-7875b1575566,
60000,4,0,113,2023-12-07 17:50:00.000,,,2023-12-07 17:55:03.399,2023-12-07 17:55:03.399,113,1.431,85.86,4.52,UTC+0100,y+n1+oDWjk,com.sec.android.app.shealth,2023-12-07 17:51:00.000,66cb0aab-2e7c-4ea3-8261-2dd9c295ab5f,
