com.samsung.shealth.tracker.pedometer_step_count,6260063,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
3982,4,0,7,2023-12-07 10:10:00.000,,,2023-12-07 10:15:03.453,2023-12-07 10:15:03.453,7,1.3611112,5.42,0.24,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 10:11:00.000,4f59b5d0-24d2-4c1d-a0d4-5cbc5442f451,
11940,4,0,19,2023-12-07 10:58:00.000,,,2023-12-07 11:15:03.263,2023-12-07 11:15:03.263,19,1.1666666,13.93,0.73,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 10:59:00.000,b79f4480-5e74-464c-8f87-60d4e913d93a,
24487,4,0,17,2023-12-07 10:59:00.000,,,2023-12-07 11:15:03.339,2023-12-07 11:15:03.339,65,1.3611112,33.33,2.29,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 11:00:00.000,27138802-33c5-4dff-986c-889b867d2bf9,
11737,4,0,19,2023-12-07 11:00:00.000,,,2023-12-07 11:15:03.397,2023-12-07 11:15:03.397,19,1.1944444,14.02,0.73,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 11:01:00.000,5ba2913e-a514-4d2e-a722-36f4e43f3d1a,
7367,4,0,12,2023-12-07 11:01:00.000,,,2023-12-07 11:15:03.441,2023-12-07 11:15:03.441,12,1.1944444,8.8,0.45,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 11:02:00.000,49e6f88d-fcad-4a02-8842-4bfc83644be3,
60000,4,0,113,2023-12-07 11:02:00.000,,,2023-12-07 11:15:03.492,2023-12-07 11:15:03.492,113,1.4413334,86.48,3.83,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 11:03:00.000,65eba841-9e4a-4951-ac33-79b9aaf52907,
60000,4,0,112,2023-12-07 11:03:00.000,,,2023-12-07 11:15:03.555,2023-12-07 11:15:03.555,112,1.4294999,85.77,3.91,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 11:04:00.000,b7149d1b-638e-4987-a381-717c0b3f8311,
60000,4,0,110,2023-12-07 11:04:00.000,,,2023-12-07 11:15:03.595,2023-12-07 11:15:03.595,110,1.3988333,83.93,4.03,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 11:05:00.000,921d273a-413f-485d-974f-465faf989fc9,
60000,4,0,109,2023-12-07 11:05:00.000,,,2023-12-07 11:15:03.639,2023-12-07 11:15:03.639,109,1.3821666,82.93,4.32,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 11:06:00.000,9608dfd1-3477-452b-8aca-821dd22f00fd,
60000,4,0,112,2023-12-07 11:06:00.000,,,2023-12-07 11:15:03.700,2023-12-07 11:15:03.700,112,1.4289998,85.74,3.93,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 11:07:00.000,84701bc8-78d5-4b47-b4ed-795e4efea331,
60000,4,0,114,2023-12-07 11:07:00.000,,,2023-12-07 11:15:03.773,2023-12-07 11:15:03.773,114,1.4626667,87.76,3.56,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 11:08:00.000,143cc921-f5f8-4ab6-85f5-b2aeaeb4d700,
60000,4,0,113,2023-12-07 11:08:00.000,,,2023-12-07 11:15:03.840,2023-12-07 11:15:03.840,113,1.443,86.58,3.89,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 11:09:00.000,18a53c9a-40ce-48c1-bd9a-f1a8cc0a0999,
59992,4,0,111,2023-12-07 11:09:00.000,,,2023-12-07 11:15:03.898,2023-12-07 11:15:03.898,111,1.4166666,84.99,3.84,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 11:10:00.000,e72134a1-b10a-428a-8534-7a404f7e9434,
31837,4,0,56,2023-12-07 11:10:00.000,,,2023-12-07 11:15:13.144,2023-12-07 11:15:13.144,56,1.3333334,42.45,2.21,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 11:11:00.000,5f564bb2-c2e8-49c0-82f3-c41b5ec31022,
60000,4,0,108,2023-12-07 11:11:00.000,,,2023-12-07 11:15:13.193,2023-12-07 11:15:13.193,108,1.364,81.84,4.29,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 11:12:00.000,1a3445da-16e9-435f-ade1-cc42c68fd84f,
49284,4,0,57,2023-12-07 11:12:00.000,,,2023-12-07 11:15:13.222,2023-12-07 11:15:13.222,81,1.111111,54.76,4.46,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 11:13:00.000,0561a838-6e30-49a8-b74e-586d0e3e4811,
7676,4,0,11,2023-12-07 11:13:00.000,,,2023-12-07 11:15:13.237,2023-12-07 11:15:13.237,11,1.0277778,7.89,0.42,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 11:14:00.000,39aa719e-2f3b-46b4-bfd9-0ef9db7db860,
